NODE OR WAY|QUESTION|ID|KEY|KEY_VALUE|TAG|TAG_VALUE|VERIFIED|SCORE|TAGANSWER|VALIDATING|ANSWERS|ICON|VERSION
WAY|E' una strada a senso unico?|15734818|highway|cycleway|oneway|NONE|NO|2.0|oneway|no|si,no|arrow_upward|20
WAY|Quale è la velocità massima?|15734818|highway|cycleway|maxspeed|NONE|NO|2.0|maxspeed|no|number|speed|20
WAY|E' vero che posso andare in bicicletta per questa strada?|15734818|highway|cycleway|bicycle|designated|NO|1.0|bicycle|yes|None|pedal_bike|20
WAY|Quante panchine sono presenti in questa strada?|15734818|highway|cycleway|NONE|NONE|NO|5.0|None|no|number|chair|20
WAY|La ciclabile passa per un ponte?|15734818|highway|cycleway|NONE|NONE|NO|1.0|bridge|no|si,no|radio_button_checked|20
WAY|Posso andare in bicicletta per questa strada?|22328085|highway|residential|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|20
WAY|Posso andare in bicicletta per questa strada?|23317343|highway|tertiary|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|17
WAY|Posso andare in bicicletta per questa strada?|23317346|highway|unclassified|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|7
WAY|Posso andare in bicicletta per questa strada?|24014932|highway|secondary|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|6
WAY|Posso andare in bicicletta per questa strada?|24015432|highway|secondary|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|19
WAY|Posso andare in bicicletta per questa strada?|24338033|highway|residential|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|12
WAY|Posso andare in bicicletta per questa strada?|24338060|highway|secondary|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|14
WAY|Posso andare in bicicletta per questa strada?|24338061|highway|secondary|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|8
WAY|Posso andare in bicicletta per questa strada?|24694275|highway|residential|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|3
WAY|Posso andare in bicicletta per questa strada?|24694276|highway|unclassified|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|8
WAY|Posso andare in bicicletta per questa strada?|24694278|highway|unclassified|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|9
WAY|Posso andare in bicicletta per questa strada?|24694363|highway|tertiary|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|12
WAY|Posso andare in bicicletta per questa strada?|24694366|highway|secondary|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|10
WAY|Posso andare in bicicletta per questa strada?|24694455|highway|tertiary|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|12
WAY|Posso andare in bicicletta per questa strada?|24694456|highway|secondary|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|8
WAY|Posso andare in bicicletta per questa strada?|24694971|highway|secondary|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|13
WAY|Posso andare in bicicletta per questa strada?|24694972|highway|secondary|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|14
WAY|Posso andare in bicicletta per questa strada?|24695114|highway|secondary|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|9
WAY|Posso andare in bicicletta per questa strada?|24695116|highway|secondary|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|10
WAY|Posso andare in bicicletta per questa strada?|24695194|highway|residential|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|14
WAY|Posso andare in bicicletta per questa strada?|24695195|highway|residential|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|12
WAY|Posso andare in bicicletta per questa strada?|24730257|highway|service|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|4
WAY|Posso andare in bicicletta per questa strada?|24772738|highway|unclassified|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|11
WAY|Posso andare in bicicletta per questa strada?|24790716|highway|unclassified|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|1
WAY|E' vero che posso andare in bicicletta per questa strada?|24790865|highway|cycleway|bicycle|yes|NO|1.0|bicycle|yes|None|pedal_bike|18
WAY|E' una strada a senso unico?|24790865|highway|cycleway|oneway|NONE|NO|2.0|oneway|no|si,no|arrow_upward|18
WAY|Quale è la velocità massima?|24790865|highway|cycleway|maxspeed|NONE|NO|2.0|maxspeed|no|number|speed|18
WAY|Quante panchine sono presenti in questa strada?|24790865|highway|cycleway|NONE|NONE|NO|5.0|None|no|number|chair|18
WAY|La ciclabile passa per un ponte?|24790865|highway|cycleway|NONE|NONE|NO|1.0|bridge|no|si,no|radio_button_checked|18
WAY|Posso andare in bicicletta per questa strada?|24794531|highway|secondary|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|17
WAY|Posso andare in bicicletta per questa strada?|24845005|highway|secondary|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|4
WAY|Posso andare in bicicletta per questa strada?|24867305|highway|unclassified|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|10
WAY|Posso andare in bicicletta per questa strada?|24867320|highway|tertiary|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|19
WAY|Posso andare in bicicletta per questa strada?|24867405|highway|unclassified|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|20
WAY|Posso andare in bicicletta per questa strada?|24890312|highway|unclassified|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|14
WAY|Posso andare in bicicletta per questa strada?|24890318|highway|residential|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|7
WAY|Posso andare in bicicletta per questa strada?|24890338|highway|residential|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|8
WAY|Posso andare in bicicletta per questa strada?|24890405|highway|unclassified|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|14
WAY|Posso andare in bicicletta per questa strada?|24890416|highway|unclassified|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|3
WAY|Posso andare in bicicletta per questa strada?|24890428|highway|unclassified|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|8
WAY|Posso andare in bicicletta per questa strada?|24914433|highway|unclassified|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|15
WAY|Posso andare in bicicletta per questa strada?|24914434|highway|unclassified|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|7
WAY|E' vero che posso andare in bicicletta per questa strada?|24914763|highway|pedestrian|bicycle|yes|NO|1.0|bicycle|yes|None|pedal_bike|16
WAY|La strada delle biciclette è separata da quella dei pedoni?|24914763|highway|pedestrian|segregated|NONE|NO|2.0|segregated|no|si,no|safety_divider|16
WAY|E' una strada a senso unico?|24914763|highway|pedestrian|oneway|NONE|NO|2.0|oneway|no|si,no|arrow_upward|16
WAY|Quale è la velocità massima?|24914763|highway|pedestrian|maxspeed|NONE|NO|2.0|maxspeed|no|number|speed|16
WAY|Quante panchine sono presenti in questa strada?|24914763|highway|pedestrian|NONE|NONE|NO|5.0|None|no|number|chair|16
WAY|Posso andare in bicicletta per questa strada?|24914764|highway|residential|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|5
WAY|Posso andare in bicicletta per questa strada?|25149316|highway|unclassified|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|9
WAY|Posso andare in bicicletta per questa strada?|25149317|highway|unclassified|NONE|NONE|NO|1.0|bicycle|no|si,no|pedal_bike|6
